customer_id,transaction_date,amount,type,status
6,2023-01-31,99,subscription,success
14,2023-01-31,99,subscription,success
20,2023-01-31,99,subscription,success
21,2023-01-31,99,subscription,success
22,2023-01-31,99,subscription,success
25,2023-01-31,99,subscription,success
26,2023-01-31,99,subscription,success
27,2023-01-31,99,subscription,failed
30,2023-01-31,200,upgrade,success
30,2023-01-31,99,subscription,success
36,2023-01-31,200,upgrade,success
36,2023-01-31,99,subscription,success
41,2023-01-31,99,subscription,success
57,2023-01-31,200,upgrade,success
57,2023-01-31,99,subscription,success
72,2023-01-31,99,subscription,success
77,2023-01-31,99,subscription,success
79,2023-01-31,99,subscription,success
84,2023-01-31,99,subscription,success
91,2023-01-31,99,subscription,success
92,2023-01-31,200,upgrade,success
92,2023-01-31,99,subscription,success
101,2023-01-31,99,subscription,success
103,2023-01-31,99,subscription,success
107,2023-01-31,99,subscription,success
123,2023-01-31,99,subscription,success
124,2023-01-31,200,upgrade,success
124,2023-01-31,99,subscription,success
137,2023-01-31,99,subscription,success
143,2023-01-31,99,subscription,success
149,2023-01-31,200,upgrade,success
149,2023-01-31,99,subscription,success
156,2023-01-31,200,upgrade,success
156,2023-01-31,99,subscription,success
161,2023-01-31,99,subscription,success
167,2023-01-31,99,subscription,success
174,2023-01-31,99,subscription,success
192,2023-01-31,200,upgrade,success
192,2023-01-31,99,subscription,success
193,2023-01-31,99,subscription,success
201,2023-01-31,99,subscription,success
205,2023-01-31,99,subscription,success
210,2023-01-31,99,subscription,success
215,2023-01-31,99,subscription,success
217,2023-01-31,99,subscription,success
218,2023-01-31,200,upgrade,success
218,2023-01-31,99,subscription,success
223,2023-01-31,99,subscription,success
224,2023-01-31,99,subscription,success
232,2023-01-31,99,subscription,success
235,2023-01-31,99,subscription,success
237,2023-01-31,200,upgrade,success
237,2023-01-31,99,subscription,success
243,2023-01-31,99,subscription,success
244,2023-01-31,99,subscription,success
246,2023-01-31,200,upgrade,success
246,2023-01-31,99,subscription,failed
247,2023-01-31,200,upgrade,success
247,2023-01-31,99,subscription,success
248,2023-01-31,99,subscription,success
249,2023-01-31,99,subscription,success
267,2023-01-31,200,upgrade,success
267,2023-01-31,99,subscription,success
269,2023-01-31,99,subscription,success
280,2023-01-31,99,subscription,failed
281,2023-01-31,99,subscription,success
284,2023-01-31,99,subscription,success
289,2023-01-31,99,subscription,success
298,2023-01-31,99,subscription,success
